,ID,Name,TF,MF,AUA,FD,CF,TSP
273,83877357,D,125,329876,3529,-1,['807202098102341632'],1.0
274,107473508,d,360,122813,3435,-1,['807202098102341632'],1.0
275,62198731,s,385,173292,3608,-1,['807202098102341632'],1.0
276,1513002752,G,200,757907,2197,-1,['807202098102341632'],1.0
277,136651187,w,2471,652284,3343,-1,['807202098102341632'],1.0
278,824225458300522498,A,27,30,875,-1,['807202098102341632'],0.7566666666666667
279,784707203601166336,f,3,128,984,-1,['807202098102341632'],0.6766666666666667
280,823190188751028224,A,41,22,878,-1,['807202098102341632'],0.8033333333333333
281,3227086556,E,53,232,1485,-1,['807202098102341632'],0.8433333333333334
282,761814318,g,1,30,2498,-1,['807202098102341632'],0.6699999999999999
283,814747444504391680,M,4,1547,901,-1,['807202098102341632'],0.68
284,2189156550,T,24112,54040,2046,-1,['807202098102341632'],1.0
285,239517113,J,5741,25359,3075,-1,['807202098102341632'],1.0
286,127449504,H,19866,42577,3369,-1,['807202098102341632'],1.0
287,266135518,K,706,4870946,3019,-1,['807202098102341632'],1.0
288,4861916591,H,85,9,1237,-1,['807202098102341632'],0.7666666666666666
289,526951671,D,449,1924102,2650,-1,['807202098102341632'],1.0
290,777030144682782720,B,70,15,1005,-1,['807202098102341632'],0.8166666666666668
291,2786227061,D,138,1195,1727,-1,['807202098102341632'],1.0
292,798212513422868481,h,5,906,947,-1,['807202098102341632'],0.6833333333333332
293,786906258334965760,E,90,31,978,-1,['807202098102341632'],0.9666666666666667
294,787335722437111809,R,16,162,977,-1,['807202098102341632'],0.7200000000000001
295,797863089358172160,7,10,5,948,-1,['807202098102341632'],0.45
296,805820345395609601,h,6,2,926,-1,['807202098102341632'],0.38666666666666666
297,744577327548534787,J,222,111,1095,-1,['807202098102341632'],1.0
298,798613149767401472,N,110,29,946,-1,['807202098102341632'],1.0
299,789780921830535168,M,19,135,970,-1,['807202098102341632'],0.73
300,793507413840261121,x,2,29,960,-1,['807202098102341632'],0.6733333333333333
301,792661661891096576,p,29,33,962,-1,['807202098102341632'],0.7633333333333333
302,788728451419242496,s,81,249,973,-1,['807202098102341632'],0.9366666666666666
303,796823138801684481,C,47,156,951,-1,['807202098102341632'],0.8233333333333333
304,2703590354,B,532,539,1781,-1,['807202098102341632'],1.0
305,701457638,M,139,3274,2528,-1,['807202098102341632'],1.0
306,760166771777298432,d,4,119,1052,-1,['807202098102341632'],0.68
307,707176578619461632,k,77,192,1198,-1,['807202098102341632'],0.9233333333333333
308,748562349217423360,z,104,789,1084,-1,['807202098102341632'],1.0
309,709344956448710656,T,360,137,1192,-1,['807202098102341632'],1.0
310,746735738893524993,D,54,30,1089,-1,['807202098102341632'],0.8466666666666667
311,730875392,d,420,1514953,2513,-1,['807202098102341632'],1.0
312,720624587365609476,S,133,107,1161,-1,['807202098102341632'],1.0
313,2827296113,S,617,195,1710,-1,['807202098102341632'],1.0
